lemma,freq,freq_class,rank,prop,cum_sum_prop
vedkommende,12,6,89,5.66491998300524e-4,0.7094368125383562
verneverdig,12,6,89,5.66491998300524e-4,0.7100033045366567
ærlig,11,6,90,5.192843317754803e-4,0.7105225888684322
arktisk,11,6,90,5.192843317754803e-4,0.7110418732002077
billig,11,6,90,5.192843317754803e-4,0.7115611575319832
bortse,11,6,90,5.192843317754803e-4,0.7120804418637586
eksklusiv,11,6,90,5.192843317754803e-4,0.7125997261955341
fornuftig,11,6,90,5.192843317754803e-4,0.7131190105273096
forsiktig,11,6,90,5.192843317754803e-4,0.7136382948590851
interessere,11,6,90,5.192843317754803e-4,0.7141575791908605
jødisk,11,6,90,5.192843317754803e-4,0.714676863522636
klok,11,6,90,5.192843317754803e-4,0.7151961478544115
kongelig,11,6,90,5.192843317754803e-4,0.715715432186187
nøye,11,6,90,5.192843317754803e-4,0.7162347165179626
ordentlig,11,6,90,5.192843317754803e-4,0.716754000849738
radikal,11,6,90,5.192843317754803e-4,0.7172732851815135
tom,11,6,90,5.192843317754803e-4,0.717792569513289
ubehagelig,11,6,90,5.192843317754803e-4,0.7183118538450645
ukjent,11,6,90,5.192843317754803e-4,0.7188311381768399
utenlandsk,11,6,90,5.192843317754803e-4,0.7193504225086154
voldelig,11,6,90,5.192843317754803e-4,0.7198697068403909
afrikansk,10,6,91,4.7207666525043664e-4,0.7203417835056413
årlig,10,6,91,4.7207666525043664e-4,0.7208138601708918
gresk,10,6,91,4.7207666525043664e-4,0.7212859368361422
høyreekstrem,10,6,91,4.7207666525043664e-4,0.7217580135013926
involvere,10,6,91,4.7207666525043664e-4,0.7222300901666431
kinesisk,10,6,91,4.7207666525043664e-4,0.7227021668318935
kreativ,10,6,91,4.7207666525043664e-4,0.7231742434971439
kulturell,10,6,91,4.7207666525043664e-4,0.7236463201623944
levende,10,6,91,4.7207666525043664e-4,0.7241183968276448
lønnsom,10,6,91,4.7207666525043664e-4,0.7245904734928952
lovforankre,10,6,91,4.7207666525043664e-4,0.7250625501581457
målrettet,10,6,91,4.7207666525043664e-4,0.7255346268233961
mektig,10,6,91,4.7207666525043664e-4,0.7260067034886466
nøyaktig,10,6,91,4.7207666525043664e-4,0.726478780153897
perfekt,10,6,91,4.7207666525043664e-4,0.7269508568191474
synlig,10,6,91,4.7207666525043664e-4,0.7274229334843979
tilfredsstille,10,6,91,4.7207666525043664e-4,0.7278950101496483
tilnærmet,10,6,91,4.7207666525043664e-4,0.7283670868148987
undertrykke,10,6,91,4.7207666525043664e-4,0.7288391634801492
vant,10,6,91,4.7207666525043664e-4,0.7293112401453996
verdt,10,6,91,4.7207666525043664e-4,0.72978331681065
1.,9,7,92,4.24868998725393e-4,0.7302081858093754
alminnelig,9,7,92,4.24868998725393e-4,0.7306330548081008
arabisk,9,7,92,4.24868998725393e-4,0.7310579238068262
berømt,9,7,92,4.24868998725393e-4,0.7314827928055516
beruset,9,7,92,4.24868998725393e-4,0.731907661804277
beskjeden,9,7,92,4.24868998725393e-4,0.7323325308030024
bestemt,9,7,92,4.24868998725393e-4,0.7327573998017278
brutal,9,7,92,4.24868998725393e-4,0.7331822688004532
dramatisk,9,7,92,4.24868998725393e-4,0.7336071377991785
flat,9,7,92,4.24868998725393e-4,0.7340320067979039
fryktelig,9,7,92,4.24868998725393e-4,0.7344568757966293
grå,9,7,92,4.24868998725393e-4,0.7348817447953547
indirekte,9,7,92,4.24868998725393e-4,0.7353066137940801
italiensk,9,7,92,4.24868998725393e-4,0.7357314827928055
kommersiell,9,7,92,4.24868998725393e-4,0.7361563517915309
kontinuerlig,9,7,92,4.24868998725393e-4,0.7365812207902563
koreansk,9,7,92,4.24868998725393e-4,0.7370060897889817
kreve,9,7,92,4.24868998725393e-4,0.7374309587877071
kriminell,9,7,92,4.24868998725393e-4,0.7378558277864325
lede,9,7,92,4.24868998725393e-4,0.738280696785158
miljøvennlig,9,7,92,4.24868998725393e-4,0.7387055657838832
